repo_id,language,bytes
1227490532,HTML,94765
1227490532,Python,79541
1227490532,CSS,9250
1227490532,Shell,1181
1227490532,Dockerfile,387
1241960226,Go,295569
1241960226,TypeScript,83088
1241960226,CSS,20095
1241960226,JavaScript,15495
1241960226,Shell,13309
1241960226,HTML,10009
1241960226,Makefile,2217
1238989758,C++,667159
1238989758,CMake,1773
1236232731,TypeScript,55134
1236232731,JavaScript,2977
1230084743,Rust,6340163
1230084743,Cuda,3684850
1230084743,Python,505364
1230084743,Shell,91367
1230084743,Metal,85838
1230084743,Jinja,53792
1230084743,Svelte,29748
1230084743,JavaScript,28096
1230084743,Dockerfile,23822
1230084743,CSS,22647
1230084743,HTML,1943
1236185998,TypeScript,378534
1236185998,CSS,108402
1236185998,JavaScript,98136
1236185998,Astro,81937
1244665294,C,226718
1244665294,Python,36897
1244665294,HTML,11873
1244665294,Makefile,372
1238606716,TypeScript,204147
1238606716,Shell,71324
1238606716,JavaScript,8801
1246148135,Rust,1735580
1246148135,Shell,95530
1246148135,HTML,13007
1246148135,PowerShell,12558
1246148135,Dockerfile,2885
1246148135,JavaScript,121
1246148135,Batchfile,120
1246148135,CSS,59
1227339848,Python,1908686
1227339848,TypeScript,928831
1227339848,Mermaid,190110
1227339848,CSS,143952
1227339848,JavaScript,42374
1227339848,Shell,25417
1227339848,TeX,2262
1227339848,HTML,353
1227339848,MDX,118
1230280405,Jupyter Notebook,1201093
1230280405,Mermaid,25080
1230280405,Python,17302
1233135720,Shell,27326
1233135720,Dockerfile,1761
1233135720,TypeScript,396
